,0,1,2,3,4
15,N15,Seven Sisters,"£530,245","£26,512.25","530,245"
16,N16,"Stamford Hill, Stoke Newington","£631,021","£31,551.05","631,021"
17,N17,Tottenham,"£402,025","£20,101.25","402,025"
18,N18,Upper Edmonton,"£325,352","£16,267.60","325,352"
19,N19,"Archway, Tufnell Park","£626,049","£31,302.45","626,049"
20,N20,"Totteridge, Whetstone","£737,981","£36,899.05","737,981"
21,N21,Winchmore Hill,"£594,879","£29,743.95","594,879"
22,N22,"Alexandra Palace, Wood Green","£526,045","£26,302.25","526,045"
0,London Postcode,Areas covered,Avg property price,5% deposit,Avg property price
1,SE1,"Bermondsey, Borough, Southwark, Waterloo","£750,768","£37,538.40","750,768"
2,SE2,Abbey Wood,"£330,345","£16,517.25","330,345"
3,SE3,"Blackheath, Westcombe Park","£563,256","£28,162.80","563,256"
4,SE4,"Brockley, Crofton Park, Honor Oak Park","£566,114","£28,305.70","566,114"
5,SE5,Camberwell,"£521,004","£26,050.20","521,004"
6,SE6,"Bellingham, Catford, Hither Green","£423,337","£21,166.85","423,337"
7,SE7,Charlton,"£446,860","£22,343.00","446,860"
8,SE8,Deptford,"£439,805","£21,990.25","439,805"
9,SE9,"Eltham, Mottingham","£412,717","£20,635.85","412,717"
10,SE10,Greenwich,"£550,509","£27,525.45","550,509"
11,SE11,Lambeth,"£523,082","£26,154.10","523,082"
12,SE12,Grove Park,"£429,390","£21,469.50","429,390"
13,SE13,"Hither Green, Lewisham","£460,188","£23,009.40","460,188"
14,SE14,"New Cross, New Cross Gate","£472,129","£23,606.45","472,129"
15,SE15,"Nunhead, Peckham","£553,449","£27,672.45","553,449"
16,SE16,"Rotherhithe, South Bermondsey, Surrey Docks","£477,043","£23,852.15","477,043"
17,SE17,"Elephant & Castle, Walworth","£523,044","£26,152.20","523,044"
18,SE18,"Plumstead, Woolwich","£351,089","£17,554.45","351,089"
19,SE19,"Crystal Palace, Upper Norwood","£456,255","£22,812.75","456,255"
20,SE20,"Anerley, Penge","£380,445","£19,022.25","380,445"
21,SE21,Dulwich,"£712,663","£35,633.15","712,663"
22,SE22,East Dulwich,"£705,698","£35,284.90","705,698"
23,SE23,Forest Hill,"£521,931","£26,096.55","521,931"
24,SE24,Herne Hill,"£749,974","£37,498.70","749,974"
25,SE25,South Norwood,"£348,701","£17,435.05","348,701"
26,SE26,Sydenham,"£468,563","£23,428.15","468,563"
27,SE27,"Tulse Hill, West Norwood","£542,586","£27,129.30","542,586"
28,SE28,Thamesmead,"£275,194","£13,759.70","275,194"
0,London Postcode,Areas covered,Avg property price,5% deposit,Avg property price
1,SW1,"Belgravia, Pimlico, Westminster","£1,295,609","£64,780.45","1,295,609"
2,SW2,"Brixton, Streatham Hill","£569,866","£28,493.30","569,866"
3,SW3,"Brompton, Chelsea","£1,634,116","£81,705.80","1,634,116"
4,SW4,Clapham,"£709,381","£35,469.05","709,381"
5,SW5,Earl’s Court,"£997,306","£49,865.30","997,306"
6,SW6,"Fulham, Parson’s Green","£947,286","£47,364.30","947,286"
7,SW7,South Kensington,"£1,528,409","£76,420.45","1,528,409"
8,SW8,"Nine Elms, South Lambeth","£685,696","£34,284.80","685,696"
9,SW10,"Brixton, Stockwell","£843,329","£42,166.45","843,329"
10,SW11,West Brompton,"£699,787","£34,989.35","699,787"
11,SW12,Battersea,"£818,569","£40,928.45","818,569"
12,SW13,Balham,"£1,189,849","£59,492.45","1,189,849"
13,SW14,Barnes,"£938,493","£46,924.65","938,493"
14,SW15,"East Sheen, Mortlake","£689,577","£34,478.85","689,577"
15,SW16,"Norbury, Streatham","£506,275","£25,313.75","506,275"
16,SW17,Tooting,"£634,246","£31,712.30","634,246"
17,SW18,"Earlsfield, Wandsworth","£710,063","£35,503.15","710,063"
18,SW19,"Merton, Wimbledon","£722,981","£36,149.05","722,981"
19,SW20,"Raynes Park, South Wimbledon","£710,239","£35,511.95","710,239"
0,London Postcode,Areas covered,Avg property price,5% deposit,Avg property price
1,NW1,"Camden Town, Regent’s Park","£764,196","£38,209.80","764,196"
2,NW2,"Cricklewood, Neasden","£571,267","£28,563.35","571,267"
3,NW3,"Hampstead, Swiss Cottage","£1,137,545","£56,877.25","1,137,545"
4,NW4,"Brent Cross, Hendon","£543,686","£27,184.30","543,686"
5,NW5,Kentish Town,"£710,674","£35,533.70","710,674"
6,NW6,"Kilburn, Queens Park, West Hampstead","£753,525","£37,676.25","753,525"
7,NW7,Mill Hill,"£646,576","£32,328.80","646,576"
8,NW8,St John’s Wood,"£1,112,247","£55,612.35","1,112,247"
9,NW9,"Colindale, Kingsbury","£415,487","£20,774.35","415,487"
10,NW10,"Harlesden, Kensal Green, Willesden","£620,483","£31,024.15","620,483"
11,NW11,"Golders Green, Hampstead Garden Suburb","£817,279","£40,863.95","817,279"
0,London Postcode,Areas covered,Avg property price,5% deposit,Avg property price
1,W1,"Marylebone, Mayfair, Soho","£1,820,143","£91,007.15","1,820,143"
2,W2,"Bayswater, Paddington","£1,000,126","£50,006.30","1,000,126"
3,W3,Acton,"£549,871","£27,493.55","549,871"
4,W4,Chiswick,"£862,285","£43,114.25","862,285"
5,W5,Ealing,"£679,155","£33,957.75","679,155"
6,W6,Hammersmith,"£828,790","£41,439.50","828,790"
7,W7,Hanwell,"£538,358","£26,917.90","538,358"
8,W8,Kensington,"£1,949,475","£97,473.75","1,949,475"
9,W9,"Maida Vale, Warwick Avenue","£800,133","£40,006.65","800,133"
10,W10,"Ladbroke Grove, North Kensington","£760,991","£38,049.55","760,991"
11,W11,"Holland Park, Notting Hill","£1,446,853","£72,342.65","1,446,853"
12,W12,Shepherd’s Bush,"£678,661","£33,933.05","678,661"
13,W13,West Ealing,"£671,452","£33,572.60","671,452"
14,W14,West Kensington,"£842,460","£42,123.00","842,460"
0,London Postcode,Areas covered,Avg property price,5% deposit,Avg property price
1,EN,Enfield,"£418,361","£20,918.05","418,361"
2,HA,Harrow,"£460,408","£23,020.40","460,408"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
