TL,Territory Level and Typology,REG_ID,Region,VAR,Variable,VINTAGE,Vintage,DWELLINGS,Dwellings,MEASURE,Measure,FREQ,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
4,Cities,AUS01M,Sydney (agglomeration) - New South Wales,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,136.399,,
4,Cities,AUS02M,Melbourne (agglomeration) - Victoria,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2020,2020,IDX,Index,0,Units,2015_100,2015=100,124.728,,
4,Cities,AUS02M,Melbourne (agglomeration) - Victoria,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,143.546,,
4,Cities,AUS03M,Brisbane (agglomeration) - Queensland,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2020,2020,IDX,Index,0,Units,2015_100,2015=100,109.703,,
4,Cities,AUS03M,Brisbane (agglomeration) - Queensland,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,128.936,,
4,Cities,AUS04M,Perth (agglomeration) - Western Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2020,2020,IDX,Index,0,Units,2015_100,2015=100,89.927,,
4,Cities,AUS04M,Perth (agglomeration) - Western Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,102.379,,
4,Cities,AUS05M,Adelaide (agglomeration) - South Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2020,2020,IDX,Index,0,Units,2015_100,2015=100,112.652,,
4,Cities,AUS05M,Adelaide (agglomeration) - South Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,130.931,,
4,Cities,AUS07M,Canberra (agglomeration) - Australian Capital Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2020,2020,IDX,Index,0,Units,2015_100,2015=100,121.545,,
4,Cities,AUS07M,Canberra (agglomeration) - Australian Capital Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,147.208,,
4,Cities,AUS12M,Hobart (agglomeration) - Tasmania,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2020,2020,IDX,Index,0,Units,2015_100,2015=100,148.324,,
4,Cities,AUS12M,Hobart (agglomeration) - Tasmania,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,179.414,,
4,Cities,AUS16M,Darwin (agglomeration) - Northern Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2020,2020,IDX,Index,0,Units,2015_100,2015=100,78.541,,
4,Cities,AUS16M,Darwin (agglomeration) - Northern Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,87.531,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,5.397,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,17.423,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.729,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,19.846,,
2,Large regions,AU2,"Victoria, Melbourne (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.594,,
2,Large regions,AU2,"Victoria, Melbourne (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,15.087,,
2,Large regions,AU3,"Queensland, Brisbane (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,3.01,,
2,Large regions,AU3,"Queensland, Brisbane (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,17.531,,
2,Large regions,AU4,"South Australia, Adelaïde (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,1.988,,
2,Large regions,AU4,"South Australia, Adelaïde (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,16.227,,
2,Large regions,AU5,"Western Australia, Perth (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,1.379,,
2,Large regions,AU5,"Western Australia, Perth (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,13.848,,
2,Large regions,AU6,"Tasmania, Hobart (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.373,,
2,Large regions,AU6,"Tasmania, Hobart (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,20.961,,
2,Large regions,AU7,"Northern Territory, Darwin (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,-1.068,,
2,Large regions,AU7,"Northern Territory, Darwin (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,11.446,,
2,Large regions,AU8,"Australian Capital Territory, Canberra (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,4.209,,
2,Large regions,AU8,"Australian Capital Territory, Canberra (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,21.114,,
4,Cities,AUS01M,Sydney (agglomeration) - New South Wales,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.729,,
4,Cities,AUS01M,Sydney (agglomeration) - New South Wales,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,19.846,,
4,Cities,AUS02M,Melbourne (agglomeration) - Victoria,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.594,,
4,Cities,AUS02M,Melbourne (agglomeration) - Victoria,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,15.087,,
4,Cities,AUS03M,Brisbane (agglomeration) - Queensland,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,3.01,,
4,Cities,AUS03M,Brisbane (agglomeration) - Queensland,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,17.531,,
4,Cities,AUS04M,Perth (agglomeration) - Western Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,1.379,,
4,Cities,AUS04M,Perth (agglomeration) - Western Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,13.848,,
4,Cities,AUS05M,Adelaide (agglomeration) - South Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,1.988,,
4,Cities,AUS05M,Adelaide (agglomeration) - South Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,16.227,,
4,Cities,AUS07M,Canberra (agglomeration) - Australian Capital Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,4.209,,
4,Cities,AUS07M,Canberra (agglomeration) - Australian Capital Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,21.114,,
4,Cities,AUS12M,Hobart (agglomeration) - Tasmania,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.373,,
4,Cities,AUS12M,Hobart (agglomeration) - Tasmania,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,20.961,,
4,Cities,AUS16M,Darwin (agglomeration) - Northern Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2020,2020,PC,Percentage,0,Units,,,-1.068,,
4,Cities,AUS16M,Darwin (agglomeration) - Northern Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GY,Percentage change on the same period of the previous year,A,Annual,2021,2021,PC,Percentage,0,Units,,,11.446,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,5.397,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,17.423,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.729,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,19.846,,
2,Large regions,AU2,"Victoria, Melbourne (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.594,,
2,Large regions,AU2,"Victoria, Melbourne (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,15.087,,
2,Large regions,AU3,"Queensland, Brisbane (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,3.01,,
2,Large regions,AU3,"Queensland, Brisbane (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,17.531,,
2,Large regions,AU4,"South Australia, Adelaïde (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,1.988,,
2,Large regions,AU4,"South Australia, Adelaïde (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,16.227,,
2,Large regions,AU5,"Western Australia, Perth (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,1.379,,
2,Large regions,AU5,"Western Australia, Perth (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,13.848,,
2,Large regions,AU6,"Tasmania, Hobart (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.373,,
2,Large regions,AU6,"Tasmania, Hobart (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,20.961,,
2,Large regions,AU7,"Northern Territory, Darwin (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,-1.068,,
2,Large regions,AU7,"Northern Territory, Darwin (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,11.446,,
2,Large regions,AU8,"Australian Capital Territory, Canberra (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,4.209,,
2,Large regions,AU8,"Australian Capital Territory, Canberra (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,21.114,,
4,Cities,AUS01M,Sydney (agglomeration) - New South Wales,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.729,,
4,Cities,AUS01M,Sydney (agglomeration) - New South Wales,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,19.846,,
4,Cities,AUS02M,Melbourne (agglomeration) - Victoria,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.594,,
4,Cities,AUS02M,Melbourne (agglomeration) - Victoria,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,15.087,,
4,Cities,AUS03M,Brisbane (agglomeration) - Queensland,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,3.01,,
4,Cities,AUS03M,Brisbane (agglomeration) - Queensland,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,17.531,,
4,Cities,AUS04M,Perth (agglomeration) - Western Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,1.379,,
4,Cities,AUS04M,Perth (agglomeration) - Western Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,13.848,,
4,Cities,AUS05M,Adelaide (agglomeration) - South Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,1.988,,
4,Cities,AUS05M,Adelaide (agglomeration) - South Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,16.227,,
4,Cities,AUS07M,Canberra (agglomeration) - Australian Capital Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,4.209,,
4,Cities,AUS07M,Canberra (agglomeration) - Australian Capital Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,21.114,,
4,Cities,AUS12M,Hobart (agglomeration) - Tasmania,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,6.373,,
4,Cities,AUS12M,Hobart (agglomeration) - Tasmania,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,20.961,,
4,Cities,AUS16M,Darwin (agglomeration) - Northern Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,-1.068,,
4,Cities,AUS16M,Darwin (agglomeration) - Northern Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,GP,Percentage change from previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,11.446,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,0,Units,2015_100,2015=100,114.151,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2020-Q2,Q2-2020,IDX,Index,0,Units,2015_100,2015=100,112.116,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2020-Q3,Q3-2020,IDX,Index,0,Units,2015_100,2015=100,112.977,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2020-Q4,Q4-2020,IDX,Index,0,Units,2015_100,2015=100,116.422,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2021-Q1,Q1-2021,IDX,Index,0,Units,2015_100,2015=100,122.685,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2021-Q2,Q2-2021,IDX,Index,0,Units,2015_100,2015=100,130.906,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2021-Q3,Q3-2021,IDX,Index,0,Units,2015_100,2015=100,137.483,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2021-Q4,Q4-2021,IDX,Index,0,Units,2015_100,2015=100,143.981,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,0,Units,2015_100,2015=100,114.266,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2020-Q2,Q2-2020,IDX,Index,0,Units,2015_100,2015=100,111.774,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2020-Q3,Q3-2020,IDX,Index,0,Units,2015_100,2015=100,112.919,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2020-Q4,Q4-2020,IDX,Index,0,Units,2015_100,2015=100,116.288,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2021-Q1,Q1-2021,IDX,Index,0,Units,2015_100,2015=100,123.362,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2021-Q2,Q2-2021,IDX,Index,0,Units,2015_100,2015=100,133.333,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2021-Q3,Q3-2021,IDX,Index,0,Units,2015_100,2015=100,141.553,,
2,Large regions,AU1,"New South Wales, Sydney (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2021-Q4,Q4-2021,IDX,Index,0,Units,2015_100,2015=100,147.347,,
2,Large regions,AU2,"Victoria, Melbourne (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,0,Units,2015_100,2015=100,126,,
